Marketer_Name,Census_Board_Group,Total_WoundArea,Number_of_Patients,Total_Billed
Jason Roberts,Active Conservative Patient,17.6,2,26230.65
Jason Roberts,Discharged From Pratice,175.26000000000002,24,1086423.726
Jason Roberts,Pending Patient,2.0,1,1658.0800000000002
Michelle Williams,Active Conservative Patient,9.98,3,17708.18
Michelle Williams,Actively Receiving Skin Subs,913.5,3,2693791.7600000002
Michelle Williams,Discharged From Pratice,648.73,79,427801.57
Michelle Williams,Preparing for Skins Subs,38.1,3,5522.320000000001
NA,Active Conservative Patient,32.2,9,7881.360000000001
NA,Discharged From Pratice,141.55,13,1644.3799999999999
NA,Pending Patient,0.0,4,384.77000000000004
NA,Preparing for Skins Subs,20.0,1,430.24
Stephen Ramirez,Discharged From Pratice,462.0,23,14221.95
Susan M Arzola,Active Conservative Patient,24.9,3,26689.800000000003
Susan M Arzola,Discharged From Pratice,255.60000000000002,25,193659.11
