ZipCode,Active,Discharged,Other
75028,0.0,2.0,0
75050,0.0,1.0,0
75061,0.0,1.0,0
75062,0.0,1.0,0
75065,0.0,1.0,0
75067,0.0,1.0,0
75154,1.0,0.0,0
76226,0.0,1.0,0
78003,0.0,2.0,0
78009,0.0,1.0,0
78013,0.0,4.0,0
78015,0.0,2.0,0
78016,0.0,1.0,0
78017,1.0,0.0,0
78039,0.0,1.0,0
78059,2.0,0.0,0
78070,0.0,3.0,0
78073,0.0,1.0,0
78108,0.0,1.0,0
78109,0.0,2.0,0
78112,0.0,1.0,0
78130,1.0,0.0,0
78148,0.0,1.0,0
78154,2.0,1.0,0
78155,0.0,1.0,0
78163,0.0,1.0,0
78201,1.0,4.0,0
78203,0.0,1.0,0
78204,0.0,3.0,0
78207,0.0,1.0,0
78209,0.0,1.0,0
78210,1.0,3.0,0
78211,1.0,1.0,0
78212,0.0,2.0,0
78213,0.0,2.0,0
78214,0.0,2.0,0
78216,2.0,4.0,0
78217,0.0,4.0,0
78218,0.0,7.0,0
78219,0.0,3.0,0
78220,0.0,4.0,0
78221,0.0,4.0,0
78222,1.0,0.0,0
78223,0.0,3.0,0
78224,0.0,1.0,0
78225,0.0,1.0,0
78226,1.0,0.0,0
78227,0.0,6.0,0
78228,0.0,4.0,0
78230,0.0,2.0,0
78231,0.0,1.0,0
78232,1.0,3.0,0
78233,0.0,3.0,0
78238,0.0,1.0,0
78239,0.0,3.0,0
78240,0.0,5.0,0
78242,0.0,2.0,0
78244,0.0,1.0,0
78245,0.0,2.0,0
78247,0.0,2.0,0
78248,0.0,1.0,0
78249,1.0,1.0,0
78250,1.0,3.0,0
78251,0.0,5.0,0
78252,0.0,1.0,0
78253,1.0,0.0,0
78254,1.0,2.0,0
78255,1.0,0.0,0
78257,0.0,1.0,0
78258,0.0,3.0,0
78260,0.0,1.0,0
78263,0.0,1.0,0
78640,1.0,0.0,0
78666,0.0,1.0,0
78731,7.0,4.0,0
78735,0.0,1.0,0
78752,0.0,1.0,0
78758,0.0,1.0,0
78759,1.0,0.0,0
78801,8.0,6.0,0
78802,0.0,1.0,0
78832,1.0,1.0,0
78833,0.0,2.0,0
78839,2.0,1.0,0
78840,1.0,0.0,0
78852,3.0,1.0,0
78861,2.0,2.0,0
78872,0.0,2.0,0
78881,0.0,2.0,0
